canister_id,name,topup_threshold_tc,topup_amount_tc,tags,project
h5vpp-qyaaa-aaaac-qai3a-cai,Realm Backend (Dominion),0.5,1.0,realm-backend,realmgos
gzya5-jyaaa-aaaac-qai5a-cai,Realm Frontend,0.5,1.0,realm-frontend,realmgos
rhw4p-gqaaa-aaaac-qbw7q-cai,Registry Backend,0.5,1.0,infrastructure,realmgos
2zaor-5yaaa-aaaac-qbxaa-cai,Registry Frontend,0.5,1.0,infrastructure,realmgos
mxzaz-hqaaa-aaaar-qaada-cai,ckBTC Ledger,0.5,1.0,external,realmgos
n5wcd-faaaa-aaaar-qaaea-cai,ckBTC Indexer,0.5,1.0,external,realmgos
6kdvx-3yaaa-aaaah-qqo5a-cai,Website,0.5,1.0,infrastructure,realmgos
3bohd-2yaaa-aaaac-qcyla-cai,Agora Backend,0.5,1.0,realm-backend,realmgos
2lbfz-yiaaa-aaaac-qcyma-cai,Syntropia Backend,0.5,1.0,realm-backend,realmgos
