timestamp,charge amount,charge currency,canister,cycles topped up
2026-01-20T12:14:14.358Z,0.72177974,ICP,75tef-byaaa-aaaal-qs5nq-cai,2000000000000
2026-01-20T12:06:11.103Z,0.2165,ICP,75tef-byaaa-aaaal-qs5nq-cai,599906004565
2026-01-19T14:30:15.748Z,3.04623378,ICP,3bohd-2yaaa-aaaac-qcyla-cai,8440895777983
2026-01-19T08:00:16.044Z,1.12081449,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2026-01-15T07:00:13.726Z,1.26529527,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2026-01-14T21:00:15.898Z,1.38841842,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2026-01-13T12:00:15.942Z,1.38841842,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2026-01-12T22:30:15.662Z,6.91790835,ICP,2lbfz-yiaaa-aaaac-qcyma-cai,15000000000000
2026-01-12T12:30:15.892Z,1.38358167,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2026-01-12T08:00:15.853Z,1.38358167,ICP,rhw4p-gqaaa-aaaac-qbw7q-cai,3000000000000
2026-01-09T19:00:12.812Z,1.37709384,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2026-01-02T10:00:15.826Z,1.49667321,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-12-14T14:00:16.107Z,6.4708749,ICP,3bohd-2yaaa-aaaac-qcyla-cai,15000000000000
2025-12-14T14:00:16.107Z,1.29417498,ICP,rhw4p-gqaaa-aaaac-qbw7q-cai,3000000000000
2025-12-13T15:07:11.762Z,3,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,7021412616940
2025-12-09T08:00:15.905Z,3.76630424,ICP,2lbfz-yiaaa-aaaac-qcyma-cai,9158589245698
2025-12-09T07:00:12.806Z,1.23369576,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-12-07T19:30:16.821Z,0.61780481,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,1528995586662
2025-12-05T18:30:16.491Z,1.16978547,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-12-03T22:30:15.914Z,1.13831616,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-12-03T20:30:15.737Z,1.13831616,ICP,rhw4p-gqaaa-aaaac-qbw7q-cai,3000000000000
2025-12-03T17:30:16.252Z,1.13831616,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-12-02T07:00:12.781Z,3.6903548,ICP,2madn-vqaaa-aaaac-qcymq-cai,10000000000000
2025-12-02T07:00:12.781Z,1.10710644,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,3000000000000
2025-12-01T12:00:15.924Z,4.63900987,ICP,2lbfz-yiaaa-aaaac-qcyma-cai,12850794203154
2025-12-01T11:53:35.113Z,0.36099013,ICP,h5vpp-qyaaa-aaaac-qai3a-cai,1000000000000
2025-11-27T08:00:15.759Z,1.1712242,ICP,3gpbx-xaaaa-aaaac-qcylq-cai,3449156473086
