kind,timestamp,amount,from,to,txHash
deposit,2026-03-17T16:23:27.564Z,7.328533 ICP,92d1cdb76a258b8de5787946e0c627b41df745c74e46f5bd9b16e445f3495203,a74c478128c365864290ff4fea6c36be4e4c33cf273e88ae5483a8c7f430d3f7,f69e7fab71cc0232015c84e3513af943788006f1d573d95324d279a89bcc10b5
deposit,2026-03-16T07:00:43.778Z,10 ICP,92d1cdb76a258b8de5787946e0c627b41df745c74e46f5bd9b16e445f3495203,a74c478128c365864290ff4fea6c36be4e4c33cf273e88ae5483a8c7f430d3f7,9fd77c99775a1df6fd5b0cf60eff607ca4bcb074a8cc5cc33914cc740e375fd6
deposit,2026-03-13T14:52:38.496Z,10 ICP,040834c30cdf5d7a13aae8b57d94ae2d07eefe2bc3edd8cf88298730857ac2eb,a74c478128c365864290ff4fea6c36be4e4c33cf273e88ae5483a8c7f430d3f7,fd23e76af0092fc5ba2f1696b2fc2827d0eb1c1b4bf8033d22ed81203a1cf7c9
deposit,2026-03-10T07:19:03.774Z,10 ICP,040834c30cdf5d7a13aae8b57d94ae2d07eefe2bc3edd8cf88298730857ac2eb,a74c478128c365864290ff4fea6c36be4e4c33cf273e88ae5483a8c7f430d3f7,b9326f2bee457eca6d67495864b83229ddece02e002dc91a22482f2fc2fca679
deposit,2026-02-24T06:15:00.157Z,15 ICP,040834c30cdf5d7a13aae8b57d94ae2d07eefe2bc3edd8cf88298730857ac2eb,a74c478128c365864290ff4fea6c36be4e4c33cf273e88ae5483a8c7f430d3f7,69201270909d6ca620b4a1e322b5bc3819e524b10e71412062c8b2b93598a678
